Código ,Ação,Tipo,Qtde. Teórica,Part. (%)
ABEV3,AMBEV S/A,ON,4.344.066.764,"16,611"
ALPA4,ALPARGATAS,PN N1,187.007.704,"0,903"
AMAR3,LOJAS MARISA,ON NM,52.529.246,"0,092"
ANIM3,ANIMA,ON NM,40.044.039,"0,160"
ARZZ3,AREZZO CO,ON NM,44.066.233,"0,421"
BEEF3,MINERVA,ON NM,136.456.880,"0,265"
BKBR3,BK BRASIL,ON NM,225.793.788,"0,861"
BRFS3,BRF SA,ON NM,811.416.229,"6,411"
BTOW3,B2W DIGITAL,ON NM,192.547.092,"1,784"
CAML3,CAMIL,ON NM,151.919.527,"0,200"
CRFB3,CARREFOUR BR,ON NM,384.888.219,"1,592"
CVCB3,CVC BRASIL,ON NM,147.421.042,"1,464"
CYRE3,CYRELA REALT,ON NM,263.583.096,"1,178"
DIRR3,DIRECIONAL,ON NM,76.763.694,"0,185"
EVEN3,EVEN,ON NM,205.280.287,"0,400"
EZTC3,EZTEC,ON NM,68.626.741,"0,472"
FLRY3,FLEURY,ON NM,305.082.672,"1,506"
GFSA3,GAFISA,ON NM,67.798.040,"0,080"
GNDI3,INTERMEDICA,ON NM,364.914.616,"3,787"
GRND3,GRENDENE,ON NM,270.820.595,"0,454"
GUAR3,GUARARAPES,ON,60.466.584,"0,231"
HAPV3,HAPVIDA,ON NM,208.726.921,"2,125"
HGTX3,CIA HERING,ON NM,125.486.566,"0,797"
HYPE3,HYPERA,ON NM,407.518.048,"2,651"
JBSS3,JBS,ON NM,1.620.646.499,"10,497"
KROT3,KROTON,ON NM,1.498.404.420,"3,303"
LAME3,LOJAS AMERIC,ON N1,199.174.900,"0,581"
LAME4,LOJAS AMERIC,PN N1,688.058.339,"2,690"
LCAM3,LOCAMERICA,ON EJ NM,72.709.385,"0,713"
LEVE3,METAL LEVE,ON NM,38.492.519,"0,181"
LREN3,LOJAS RENNER,ON EJ NM,781.384.541,"7,541"
MDIA3,M.DIASBRANCO,ON NM,84.751.852,"0,581"
MEAL3,IMC S/A,ON NM,156.768.224,"0,275"
MGLU3,MAGAZ LUIZA,ON NM,554.184.304,"3,970"
MOVI3,MOVIDA,ON NM,132.725.200,"0,405"
MRFG3,MARFRIG,ON NM,386.047.807,"0,847"
MRVE3,MRV,ON NM,292.910.667,"0,996"
MYPK3,IOCHP-MAXION,ON NM,139.973.015,"0,525"
NATU3,NATURA,ON EB NM,350.091.602,"2,431"
ODPV3,ODONTOPREV,ON NM,263.707.679,"0,848"
PARD3,IHPARDINI,ON EJ NM,44.851.196,"0,213"
PCAR4,P.ACUCAR-CBD,PN N1,156.396.724,"2,518"
QUAL3,QUALICORP,ON NM,223.809.099,"1,315"
RADL3,RAIADROGASIL,ON NM,213.553.757,"3,996"
RENT3,LOCALIZA,ON NM,560.843.706,"4,884"
SEER3,SER EDUCA,ON NM,54.338.507,"0,242"
SLCE3,SLC AGRICOLA,ON NM,85.085.106,"0,306"
SMLS3,SMILES,ON NM,58.842.428,"0,441"
SMTO3,SAO MARTINHO,ON NM,147.017.773,"0,566"
TCSA3,TECNISA,ON NM,547.783.816,"0,135"
TEND3,TENDA,ON NM,99.197.204,"0,495"
VULC3,VULCABRAS,ON NM,74.685.291,"0,116"
VVAR3,VIAVAREJO,ON NM,1.147.404.383,"1,710"
YDUQ3,YDUQS PART,ON NM,299.667.897,"2,049"
Quantidade Teórica Total,,,20.116.732.463,"100,000"
Redutor,,,"105.856.599,73667474",
