Código ,Ação,Tipo,Qtde. Teórica,Part. (%)
ABCB4,ABC BRASIL,PN N2,174.282.960,"0,902"
ARZZ3,AREZZO CO,ON NM,102.065.684,"1,435"
BBSE3,BBSEGURIDADE,ON NM,444.551.237,"4,444"
BRAP4,BRADESPAR,PN N1,281.300.896,"2,521"
BRSR6,BANRISUL,PNB N1,469.104.140,"3,020"
CCRO3,CCR SA,ON NM,565.960.307,"2,759"
CIEL3,CIELO,ON EJ NM,1.350.559.366,"3,249"
CMIG4,CEMIG,PN N1,962.430.860,"3,845"
CPLE6,COPEL,PNB N1,183.008.483,"2,626"
ECOR3,ECORODOVIAS,ON NM,396.251.782,"1,552"
EGIE3,ENGIE BRASIL,ON NM,389.298.714,"4,924"
ENBR3,ENERGIAS BR,ON NM,514.817.724,"2,829"
EZTC3,EZTEC,ON NM,158.952.440,"1,611"
FLRY3,FLEURY,ON NM,459.424.932,"3,341"
GRND3,GRENDENE,ON NM,627.271.437,"1,549"
HGTX3,CIA HERING,ON NM,290.650.490,"2,719"
ITSA4,ITAUSA,PN N1,1.506.926.171,"5,691"
ITUB3,ITAUUNIBANCO,ON N1,562.488.947,"4,832"
ITUB4,ITAUUNIBANCO,PN N1,426.024.663,"4,246"
LEVE3,METAL LEVE,ON NM,89.155.914,"0,617"
MRVE3,MRV,ON NM,608.708.266,"3,048"
PSSA3,PORTO SEGURO,ON NM,218.090.051,"3,661"
QUAL3,QUALICORP,ON NM,513.546.237,"4,446"
SANB11,SANTANDER BR,UNT,250.562.591,"3,205"
SAPR4,SANEPAR,PN N2,777.830.204,"3,655"
SLCE3,SLC AGRICOLA,ON NM,197.073.109,"1,046"
TRPL4,TRAN PAULIST,PN N1,916.749.665,"6,408"
TUPY3,TUPY,ON NM,152.746.849,"0,774"
UNIP6,UNIPAR,PNB,112.786.244,"1,025"
VIVT4,TELEF BRASIL,PN,219.790.283,"3,428"
WIZS3,WIZ S.A.,ON NM,177.863.847,"0,564"
Quantidade Teórica Total,,,15.442.234.731,"100,000"
Redutor,,,"58.766.569,21544295",
