Código ,Ação,Tipo,Qtde. Teórica,Part. (%)
CESP6,CESP,PNB N1,5.5,"4,925"
CMIG4,CEMIG,PN N1,10.8,"4,887"
COCE5,COELCE,PNA,2.6,"5,035"
CPFE3,CPFL ENERGIA,ON NM,4.7,"4,901"
CPLE6,COPEL,PNB N1,3.1,"5,039"
CPRE3,CPFL RENOVAV,ON NM,9.8,"4,843"
EGIE3,ENGIE BRASIL,ON NM,3.5,"5,014"
ELET3,ELETROBRAS,ON N1,3.4,"4,398"
ELPL3,ELETROPAULO,ON NM,3.2,"5,052"
ENBR3,ENERGIAS BR,ON NM,7.9,"4,917"
ENEV3,ENEVA,ON NM,5.9,"5,685"
EQTL3,EQUATORIAL,ON NM,1.6,"5,182"
LIGT3,LIGHT S/A,ON NM,7.8,"4,748"
OMGE3,OMEGA GER,ON NM,5,"5,176"
TRPL4,TRAN PAULIST,PN N1,6.4,"5,067"
Quantidade Teórica Total,,,116.4,"100,000"
Redutor,,,"458,126,555,759,466",
