Código ,Ação,Tipo,Qtde. Teórica,Part. (%)
ABEV3,AMBEV S/A,ON,3.333.304.209,"19,865"
ALPA4,ALPARGATAS,PN N1,187.007.704,"1,407"
BEEF3,MINERVA,ON NM,136.456.880,"0,413"
BRFS3,BRF SA,ON NM,811.416.229,"9,992"
BRKM5,BRASKEM,PNA N1,264.632.416,"2,603"
CAML3,CAMIL,ON NM,151.919.527,"0,312"
CSNA3,SID NACIONAL,ON ED,642.387.288,"2,703"
CYRE3,CYRELA REALT,ON NM,263.583.096,"1,837"
DIRR3,DIRECIONAL,ON NM,76.763.694,"0,288"
DTEX3,DURATEX,ON NM,273.493.230,"1,044"
EMBR3,EMBRAER,ON NM,735.868.554,"4,166"
EVEN3,EVEN,ON NM,205.280.287,"0,624"
EZTC3,EZTEC,ON NM,68.626.741,"0,736"
FESA4,FERBASA,PN N1,40.158.400,"0,218"
FJTA4,FORJA TAURUS,PN N2,35.404.684,"0,036"
GFSA3,GAFISA,ON NM,67.798.040,"0,124"
GGBR4,GERDAU,PN N1,1.026.217.784,"4,091"
GOAU4,GERDAU MET,PN N1,597.099.426,"1,142"
GRND3,GRENDENE,ON NM,270.820.595,"0,707"
HBOR3,HELBOR,ON NM,179.586.997,"0,145"
HGTX3,CIA HERING,ON NM,125.486.566,"1,242"
JBSS3,JBS,ON NM,1.620.646.499,"16,360"
JHSF3,JHSF PART,ON NM,134.728.334,"0,169"
LEVE3,METAL LEVE,ON NM,38.492.519,"0,282"
MDIA3,M.DIASBRANCO,ON NM,84.751.852,"0,905"
MRFG3,MARFRIG,ON NM,386.047.807,"1,321"
MRVE3,MRV,ON NM,292.910.667,"1,551"
MYPK3,IOCHP-MAXION,ON NM,139.973.015,"0,818"
NATU3,NATURA,ON EB NM,350.091.602,"3,790"
POMO4,MARCOPOLO,PN EJ N2,578.758.276,"0,570"
PTBL3,PORTOBELLO,ON NM,73.786.991,"0,097"
RAPT4,RANDON PART,PN N1,176.269.235,"0,524"
SMTO3,SAO MARTINHO,ON NM,147.017.773,"0,883"
SUZB3,SUZANO S.A.,ON NM,725.859.318,"7,371"
TCSA3,TECNISA,ON NM,547.783.816,"0,210"
TEND3,TENDA,ON NM,99.197.204,"0,772"
TUPY3,TUPY,ON NM,65.947.515,"0,354"
UNIP6,UNIPAR,PNB,48.694.769,"0,468"
USIM5,USIMINAS,PNA N1,513.631.763,"1,257"
VULC3,VULCABRAS,ON NM,74.685.291,"0,179"
WEGE3,WEG,ON EJ NM,740.696.136,"5,459"
Quantidade Teórica Total,,,16.971.055.371,"100,000"
Redutor,,,"16.691.034,11930713",
